iter,MTOW_in_kg,MTOW_out_kg,delta_kg,L_over_D,P_cruise_kW,P_max_kW,P_TO_kW,W_fuel_kg,OEW_kg
1,31729.9,31434.8,295.102,17.1913,3752.97,5336.3,5957.9,586.052,15348.8
2,31434.8,31364.8,70.0275,17.0916,3737.72,5297.72,5902.49,582.241,15282.5
3,31364.8,31348.2,16.6195,17.0677,3734.12,5288.59,5889.34,581.342,15266.8
4,31348.2,31344.2,3.94438,17.0621,3733.27,5286.42,5886.22,581.128,15263.1
5,31344.2,31343.3,0.936146,17.0607,3733.07,5285.91,5885.48,581.078,15262.2
1,31343.3,31343.1,0.222182,17.0604,3733.02,5285.79,5885.31,581.066,15262
1,31343.1,31343,0.0527321,17.0603,3733.01,5285.76,5885.27,581.063,15262
1,31343,31343,0.0125153,17.0603,3733.01,5285.75,5885.26,581.062,15261.9
1,31343,31343,0.00297034,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,7.049728e-04,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,1.673163e-04,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,3.971037e-05,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,9.424744e-06,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,2.236840e-06,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,5.308866e-07,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,1.260014e-07,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,2.990055e-08,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,7.097697e-09,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,1.684384e-09,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,4.001777e-10,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,9.458745e-11,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,2.182787e-11,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,7.275958e-12,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
1,31343,31343,0,17.0603,3733.01,5285.75,5885.25,581.062,15261.9
