group,parameter,value
Masses,MTOW_kg,33071.76393827101
Masses,MZFW_kg,32461.56717337335
Masses,OEW_kg,22461.56717337335
Masses,fuel_mass_kg,610.1967648976579
Masses,payload_kg,10000.0
Masses,fixed_equipment_kg,4442.1888
Wing,S_ref_m2,85.12219236450478
Wing,span_m,29.175707765965985
Wing,aspect_ratio,10
Wing,root_chord_m,4.328047499783737
Wing,tip_chord_m,1.5070940534094597
Wing,MAC_m,3.1448654152975264
Wing,taper_ratio,0.34821569159875576
Wing,sweep_half_rad,0.4014257279586958
Wing,sweep_half_deg,23.0
Wing,sweep_tc_rad,0.4188790204786391
Wing,sweep_tc_deg,24.0
Wing,thickness_to_chord_root,0.1
Wing,thickness_to_chord_mean,0.11
Wing,root_thickness_m,0.4328047499783737
Wing,LEMAC_m_from_nose,15.315
Horizontal_tail,S_h_m2,19.152945698341263
Horizontal_tail,span_h_m,9.283763010898957
Horizontal_tail,MAC_h_m,2.1
Horizontal_tail,tail_arm_l_h_m,21.291
Horizontal_tail,aspect_ratio_h,4.5
Horizontal_tail,V_h,1.5232506923456854
Horizontal_tail,elevator_area_m2,5.937413166485792
Horizontal_tail,Se_Sh,0.31
Horizontal_tail,driver,scissor plot
Vertical_tail,S_v_m2,34.42449520779785
Vertical_tail,span_v_m,7.649943911771925
Vertical_tail,MAC_v_m,3.5
Vertical_tail,tail_arm_l_v_m,19.7
Vertical_tail,aspect_ratio_v,1.7
Vertical_tail,V_v,0.2730575680102558
Vertical_tail,rudder_area_m2,8.893622942929309
Vertical_tail,Sr_Sv,0.258351586254044
Vertical_tail,driver,control (OEI rudder)
Fuselage,length_m,38.1576727215751
Fuselage,diameter_equivalent_m,2.9
Fuselage,width_m,2.9
Fuselage,height_m,2.9
Fuselage,wetted_area_m2,313.2525724295645
Fuselage,LEMAC_m_from_nose,15.315
LH2_tank,fuel_mass_kg,610.1967648976579
LH2_tank,effective_LH2_density_kg_m3,70.85
LH2_tank,volume_m3,8.612516088887197
LH2_tank,radius_m,1.07
LH2_tank,diameter_m,2.14
LH2_tank,length_m,3.107672721575105
LH2_tank,hump_back,True
LH2_tank,extra_wetted_area_hump_m2,0.0
LH2_tank,tank_weight_kg,377.55924828042583
Aerodynamics,cruise_CL,0.28064715063669854
Aerodynamics,cruise_L_over_D,15.266629565672465
Aerodynamics,CD0,0.015270447773076973
Aerodynamics,CD_total,0.01838304580781492
Aerodynamics,oswald_e,0.8054681329207621
Power,P_cruise_kW,4424.313146843154
Power,P_climb_kW,5595.512496019061
Power,P_reserve_kW,1511.873555330674
Power,P_TO_kW,6209.714537581244
Power,P_TO_OEI_kW,3104.857268790622
Power,static_thrust_per_engine_kN,53.36418762717174
Distances_mac,distance_le_mac_to_cg,1.4761064489736415
Distances_mac,distance_le_mac_to_turbine,0.3611635987093632
Distances_mac,distance_le_root_to_le_mac,-1.4345015138251358
