iter,MTOW_in_kg,MTOW_out_kg,delta_kg,S_ref_m2,b_m,c_root_m,c_tip_m,MAC_m,r_tank_m,L_tank_m,d_tank_m,l_f_m,d_f_m,S_wet_f_m2,S_wet_hump_m2,L_over_D,P_cruise_kW,P_max_kW,P_TO_kW,W_fuel_kg,OEW_kg,bt_ch_ratio
1,31729.9,33390.4,1660.53,81.6704,28.578,4.08258,1.63303,3.03277,1.07,2.04922,2.14,37.0992,2.9,303.625,0,15.4855,4024.96,5083.86,5957.9,549.555,22840.9,0
2,33390.4,34245.4,854.969,85.9445,29.3163,4.18804,1.67522,3.11112,1.07,2.86986,2.14,37.9199,2.9,311.089,0,14.5317,4513.57,5496.84,6269.7,610.037,23635.4,0
3,34245.4,34619.6,374.23,88.1451,29.6892,4.24132,1.69653,3.15069,1.07,3.10719,2.14,38.1572,2.9,313.248,0,14.5414,4626.05,5635.9,6430.24,625.298,23994.3,0
4,34619.6,34773.9,154.24,89.1083,29.851,4.26443,1.70577,3.16786,1.07,3.16708,2.14,38.2171,2.9,313.793,0,14.5382,4677.65,5698.02,6500.51,632.248,24141.6,0
5,34773.9,34838.2,64.3146,89.5053,29.9174,4.27392,1.70957,3.17491,1.07,3.19435,2.14,38.2444,2.9,314.041,0,14.5345,4699.69,5724.03,6529.47,635.202,24203,0
6,34838.2,34865.1,26.8621,89.6709,29.9451,4.27787,1.71115,3.17785,1.07,3.20594,2.14,38.2559,2.9,314.146,0,14.5331,4708.84,5734.85,6541.54,636.428,24228.6,0
7,34865.1,34876.3,11.2126,89.74,29.9566,4.27952,1.71181,3.17907,1.07,3.21076,2.14,38.2608,2.9,314.19,0,14.5325,4712.65,5739.37,6546.59,636.94,24239.3,0
8,34876.3,34881,4.68031,89.7689,29.9615,4.28021,1.71208,3.17958,1.07,3.21276,2.14,38.2628,2.9,314.208,0,14.5323,4714.24,5741.26,6548.69,637.153,24243.8,0
9,34881,34882.9,1.9537,89.7809,29.9635,4.28049,1.7122,3.1798,1.07,3.2136,2.14,38.2636,2.9,314.216,0,14.5322,4714.91,5742.04,6549.57,637.242,24245.7,0
10,34882.9,34883.7,0.815533,89.786,29.9643,4.28061,1.71225,3.17989,1.07,3.21395,2.14,38.264,2.9,314.219,0,14.5321,4715.19,5742.37,6549.94,637.28,24246.4,0
