group,parameter,value
Masses,MTOW_kg,32707.69131632614
Masses,MZFW_kg,32091.260886018117
Masses,OEW_kg,22091.260886018117
Masses,fuel_mass_kg,616.4304303080246
Masses,payload_kg,10000.0
Masses,fixed_equipment_kg,4442.1888
Wing,S_ref_m2,84.18561341936076
Wing,span_m,29.014757179642356
Wing,aspect_ratio,10
Wing,root_chord_m,4.257094735632083
Wing,tip_chord_m,1.5458567002963877
Wing,MAC_m,3.112598505089968
Wing,taper_ratio,0.36312480606961706
Wing,sweep_half_rad,0.4014257279586958
Wing,sweep_half_deg,23.0
Wing,sweep_tc_rad,0.4188790204786391
Wing,sweep_tc_deg,24.0
Wing,thickness_to_chord_root,0.1
Wing,thickness_to_chord_mean,0.11
Wing,root_thickness_m,0.4257094735632083
Wing,LEMAC_m_from_nose,15.4
Horizontal_tail,S_h_m2,19.36303481387597
Horizontal_tail,span_h_m,9.334541052587527
Horizontal_tail,MAC_h_m,2.1
Horizontal_tail,tail_arm_l_h_m,21.2
Horizontal_tail,aspect_ratio_h,4.5
Horizontal_tail,V_h,1.5665228628457741
Horizontal_tail,elevator_area_m2,6.00254079230155
Horizontal_tail,Se_Sh,0.31
Horizontal_tail,driver,scissor plot
Vertical_tail,S_v_m2,34.03216497188123
Vertical_tail,span_v_m,7.606226426566467
Vertical_tail,MAC_v_m,3.5
Vertical_tail,tail_arm_l_v_m,19.7
Vertical_tail,aspect_ratio_v,1.7
Vertical_tail,V_v,0.274465283015946
Vertical_tail,rudder_area_m2,8.779504367125226
Vertical_tail,Sr_Sv,0.25797666338239755
Vertical_tail,driver,control (OEI rudder)
Fuselage,length_m,38.18216615661554
Fuselage,diameter_equivalent_m,2.9
Fuselage,width_m,2.9
Fuselage,height_m,2.9
Fuselage,wetted_area_m2,313.47536827255504
Fuselage,LEMAC_m_from_nose,15.4
LH2_tank,fuel_mass_kg,616.4304303080246
LH2_tank,effective_LH2_density_kg_m3,70.85
LH2_tank,volume_m3,8.70050007491919
LH2_tank,radius_m,1.07
LH2_tank,diameter_m,2.14
LH2_tank,length_m,3.132166156615538
LH2_tank,hump_back,True
LH2_tank,extra_wetted_area_hump_m2,0.0
LH2_tank,tank_weight_kg,381.4163287530902
Aerodynamics,cruise_CL,0.24015570430736277
Aerodynamics,cruise_L_over_D,13.771767570994491
Aerodynamics,CD0,0.01516175781287958
Aerodynamics,CD_total,0.01743826295857392
Aerodynamics,oswald_e,0.8064311676048737
Power,P_cruise_kW,4753.6944238841925
Power,P_climb_kW,5378.137726290524
Power,P_reserve_kW,1475.839085358238
Power,P_TO_kW,6141.390546742886
Power,P_TO_OEI_kW,3070.695273371443
Power,static_thrust_per_engine_kN,52.97182347798746
