section,parameter,design,offdesign_2.989MW_156K_26bar
cfg,cycle__P_target,2215000.0,2215000.0
cfg,cycle__P_ambient,0.38,0.38
cfg,cycle__M0,0.7,0.7
cfg,cycle__TIT,1600.0,1600.0
cfg,cycle__PR_HPC,7.0,7.0
cfg,cycle__eta_HPC,0.92,0.92
cfg,cycle__eta_CC,0.995,0.995
cfg,cycle__eta_CC_p,0.96,0.96
cfg,cycle__eta_HPT,0.92,0.92
cfg,cycle__eta_HEX,0.92,0.92
cfg,cycle__eta_mech,0.99,0.99
cfg,cycle__eta_diff,0.97,0.97
cfg,cycle__mdot_boiloff,0.008,0.008
cfg,cycle__eta_regen,0.775,0.775
cfg,cycle__eta_regen_p,0.95,0.95
cfg,cycle__USE_REGEN,True,True
cfg,cycle__FULL_EXPANSION,True,True
cfg,cycle__REGEN_FIRST,False,False
cfg,cycle__Regen_Fraction,0.775,0.775
cfg,cycle__P_pre_comp,25.0,25.0
cfg,cycle__T_pre_comp,145.0,145.0
cfg,cycle__PH1,150.0,150.0
cfg,cycle__TH2,800.0,800.0
cfg,cycle__eta_compressor,0.85,0.85
cfg,cycle__eta_H2T,0.92,0.92
cfg,cycle__fluid,ParaHydrogen,ParaHydrogen
cfg,cycle__LHV_H2,120000000.0,120000000.0
cfg,cycle__mdot_f_init,0.155,0.155
cfg,offdesign__TIT_limit,1800.0,1800.0
cfg,offdesign__TIT_min,550.0,550.0
cfg,offdesign__TIT_tol,0.0001,0.0001
cfg,offdesign__max_iter,100,100
cfg,offdesign__Q_regen_max,,
cfg,offdesign__P_sweep_min,200000.0,200000.0
cfg,offdesign__P_sweep_max,3000000.0,3000000.0
cfg,offdesign__P_sweep_n,30,30
cfg,dim__HPC_Inlet_HTR,0.45,0.45
cfg,dim__HPC_Outlet_HTR,0.7,0.7
cfg,dim__HPC_U_tip,450.0,450.0
cfg,dim__HPC_Psi,0.45,0.45
cfg,dim__HPC_BladeChord,0.03,0.03
cfg,dim__HPC_Spacing,0.3,0.3
cfg,dim__HPC_M_ax,0.5,0.5
cfg,dim__HPT_Inlet_HTR,0.8,0.8
cfg,dim__HPT_Hub_Margin,0.9,0.9
cfg,dim__HPT_U_tip,500.0,500.0
cfg,dim__HPT_Psi,1.75,1.75
cfg,dim__HPT_BladeChord,0.04,0.04
